"","mir","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"76","hsa-mir-5100",339.638621588013,-1.4566647069071,0.278263408820154,-5.23484102018086,1.65126930908889e-07,2.55294926076243e-06
"77","hsa-mir-369-3p",18.6988306389784,-4.40407802555638,0.854947316214666,-5.15128586525743,2.58706497987597e-07,3.94779396279775e-06
"78","hsa-mir-654-5p",21.2767655706194,-3.08295747839054,0.601854628638297,-5.12242879209181,3.01625016708425e-07,4.54371018759486e-06
"79","hsa-mir-302a-3p",3514.67968238417,1.09820290109724,0.215435108622573,5.09760413759309,3.43979195233583e-07,5.11614625822101e-06
"80","hsa-mir-320b",345.985820395087,-1.78161852740533,0.35517554878716,-5.01616322826595,5.27135491115073e-07,7.74230252575263e-06
"81","hsa-mir-138-5p",17.450768631897,4.13680859244462,0.830874544663523,4.97886067037941,6.39596639872914e-07,9.27809940556387e-06
"82","hsa-mir-217",9.0296383191098,6.70617209205194,1.36532953977545,4.91176078498591,9.02621335691508e-07,1.29339032858234e-05
"83","hsa-mir-4286",155.789253187433,-3.06806304848447,0.627406402635835,-4.89007290265933,1.00798638946678e-06,1.42696868388369e-05
"84","hsa-mir-625-3p",1281.98230190892,1.22613716873789,0.251229097407617,4.88055397002241,1.0578825757261e-06,1.47977622199782e-05
"85","hsa-mir-4301",41.0504321081055,2.42578429704515,0.500335113323422,4.84831912142273,1.24511987972537e-06,1.72119512785566e-05
"86","hsa-mir-487b-3p",15.2499897776685,-3.56894424041738,0.741610778973737,-4.81242228619734,1.49111863087751e-06,2.03728417590822e-05
"87","hsa-mir-133a-5p",19.7406538478671,-3.39250911590218,0.714238464908946,-4.74982695917206,2.03590782088151e-06,2.74964562015606e-05
"88","hsa-mir-3919",14.669859117862,-3.73188737666587,0.789279589766521,-4.7282197906192,2.26496930355121e-06,3.02424878599167e-05
"89","hsa-mir-369-5p",8.48429087523015,-6.50183912758594,1.40721662991616,-4.62035410139613,3.83085656594341e-06,5.05759153368934e-05
"90","hsa-let-7b-3p",190.74268323031,-1.41644674036851,0.307405152972092,-4.6077521039379,4.07045534508794e-06,5.25580772580036e-05
"91","hsa-mir-199b-3p",171.524607513992,-1.46593928723513,0.320667180375777,-4.57152891517384,4.84178461456807e-06,6.12286297384961e-05
"92","hsa-mir-33a-3p",64.0416208508279,-2.77697224854498,0.607474612977599,-4.57133876744803,4.84618090696182e-06,6.12286297384961e-05
"93","hsa-mir-410-3p",8.04689898339202,-6.4261563884713,1.41463023736529,-4.54264034426399,5.55539870273844e-06,6.94424837842305e-05
